,assunto_id,descricao
0,30020,REG. SANEANTES - Registro de produtos saneantes
8,389,REG. SANEANTES - Alteração de Rotulagem de Produto
15,332,REG. SANEANTES - Nova Embalagem de Produto
62,330,REG. SANEANTES - Modificação de Fórmula de Produto
64,331,REG. SANEANTES - Nova versão de Produto
93,30014,REG. SANEANTES - Desistência de petição/processo a pedido
191,392,REG. SANEANTES - Novo Prazo de Validade de Produto
193,3769,REG. SANEANTES - Recurso Administrativo
203,334,REG. SANEANTES - Revalidação de Registro
269,390,REG. SANEANTES - Mudança de Nome de Produto
400,396,REG. SANEANTES - Alteração (Inclusão Ou Exclusão) de Fabricante
405,3874,Registro de Produto de Risco 2 - Inseticida para Empresas Especializadas
458,3782,REG. SANEANTES - Retificação de Publicação de Registro
521,387,Registro de Produto de Risco 2 - Detergentes e Congêneres
627,312,REG. SANEANTES - Mudança de Categoria de Produto
661,3899,REG. SANEANTES - Cancelamento de embalagem de Produto a pedido
1035,335,REG. SANEANTES - Cancelamento de Registro de Produto a Pedido
