,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA_ID,ASSUNTO_ID,EXPEDIENTE_PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",Alber Quimica Industria e Comercio de Sanaeantes Eirelli-ME,3.06740-0,Klin White Max Alberquímica,5351.971630/2021-44,3.6740.0002.001-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,FRASCO DE PLASTICO OPACO,24 Meses,3222021,30020,None,None
1,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,ECOTREX DRY,5351.060137/2021-05,3.5522.0033.001-3,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,ECOTREX DRY + BALDE + FILME DE POLIETILENO,24 Meses,3205061,30020,None,None
2,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,ECOTREX DRY,5351.060137/2021-05,3.5522.0033.002-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,ECOTREX DRY + BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO,24 Meses,3205061,30020,None,None
3,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,ECOTREX DRY,5351.060137/2021-05,3.5522.0033.003-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,ECOTREX DRY + FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO,24 Meses,3205061,30020,None,None
4,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,ECOTREX DRY,5351.060137/2021-05,3.5522.0033.004-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,ECOTREX DRY + SACO + ACONDICIONAMENTO NAO PREVISTO NA TABELA,24 Meses,3205061,30020,None,None
5,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOM TOQUE INDUSTRIA QUIMICA LTDA.,3.10226-4,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA,5351.031177/2021-31,3.0226.0013.001-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA + BOMBONA PLASTICA + CAIXA DE PAPELAO,12 Meses,3222030,30020,None,None
6,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOM TOQUE INDUSTRIA QUIMICA LTDA.,3.10226-4,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA,5351.031177/2021-31,3.0226.0013.002-6,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA + FRASCO DE PLÁSTICO TRANSLÚCIDO + CAIXA DE PAPELAO,12 Meses,3222030,30020,None,None
7,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOM TOQUE INDUSTRIA QUIMICA LTDA.,3.10226-4,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA,5351.031177/2021-31,3.0226.0013.003-4,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,2032-02-01,LIMTEC BT310 DESINCRUSTANTE ALCALINO BAIXA ESPUMA + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,12 Meses,3222030,30020,None,None
8,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.001-6,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLÁSTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,CITRUS
9,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.002-4,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLÁSTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,LAVANDA
10,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.003-2,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLÁSTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,MARINE
11,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.005-9,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLASTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,FLORES DE LIMAO
12,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.006-7,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLASTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,CAMPOS DE LAVANDA
13,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.007-5,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLASTICO TRANSPARENTE,02 Ano(s),3205061,389,8424751/21-3,BRISA DO OCEANO
14,"RESOLUÇÃO-RE Nº 522, DE 17 DE FEVEREIRO DE 2022",BOMBRIL S/A,3.00589-1,PINHO BRIL,5351.020985/2003-91,3.0589.0201.009-1,PRODUTO DE VENDA LIVRE,2028-05-01,FRASCO DE PLASTICO TRANSPARENTE,2 Ano(s),3205061,389,8424751/21-3,BRISA DO MAR
